ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
175960,2020,Submitted Data,64000.0,573.2,9.0,1,1.0,30,1596529.4,6100596.2,,,,120.3,169.9,125.5,174.6
244534,2020,Submitted Data,1151549.0,5186.7,5.4,1,4.0,81,19781459.6,39525344.4,,,,62.3,101.7,64.7,104.3
256422,2020,Submitted Data,68398.0,1.3,0.0,1,4.0,,8148.5,,382.1,,,0.1,0.3,0.1,0.3
260029,2020,Submitted Data,52272.0,245.1,4.7,1,4.0,80,545864.8,3010592.1,,,,68.0,89.7,72.0,93.9
251491,2020,Submitted Data,72000.0,523.6,7.3,1,2.5,31,1264862.9,6140970.0,,,,102.9,138.7,110.9,147.2
103597,2020,Submitted Data,1095104.0,6794.7,6.2,1,3.5,76,32826510.8,31469670.8,,,,58.7,114.1,62.2,117.8
256794,2020,Exempt,50000.0,,,,,,,,,,,,,,
103645,2020,Submitted Data,1191631.0,5430.1,8.2,1,4.0,74,34656715.2,400857.8,,,,53.1,147.6,55.3,153.7
161131,2020,Submitted Data,151865.0,1076.3,7.1,1,3.0,46,6054672.5,2473410.2,,,,56.2,128.7,65.7,143.7
244360,2020,Submitted Data,684299.0,4109.6,7.8,1,3.5,55,17101534.3,27121534.4,,,,83.7,144.4,87.8,149.5
251651,2020,Submitted Data,132193.0,800.5,6.1,1,3.5,51,2945797.4,6414819.6,,,,70.8,113.3,78.1,123.5
252328,2020,Submitted Data,259996.0,1477.2,6.2,1,3.5,77,3442472.2,17696679.0,,,,88.1,117.6,96.2,126.1
160105,2020,Submitted Data,250000.0,1931.9,7.7,1,2.5,52,7420795.6,12522087.3,,2061360.2,,88.0,143.2,94.5,151.6
251683,2020,Submitted Data,131200.0,385.0,2.9,1,4.0,95,1515428.9,2795680.3,,,,32.9,54.7,35.8,58.2
172106,2020,Submitted Data,220000.0,1281.2,6.2,1,2.5,51,4260700.9,11601290.0,,,,77.4,117.6,80.9,120.1
116408,2020,Submitted Data,60000.0,502.7,8.4,1,1.0,27,1767828.8,4269800.1,,,,100.6,157.2,104.7,160.8
251408,2020,Submitted Data,63257.0,401.0,6.3,1,3.0,46,1366837.9,3532610.3,,,,77.5,119.1,82.4,124.4
160373,2020,Submitted Data,686958.0,3159.3,6.3,1,4.0,70,13635950.2,19413967.5,,,,66.1,117.1,68.9,120.0
252075,2020,Not Submitted,200999.0,,,,0.0,,,,,,,,,,
256672,2020,Submitted Data,96737.0,466.6,6.5,3,3.0,64,1549174.3,4233378.4,,,,80.6,122.4,83.5,125.5
100631,2020,Submitted Data,218200.0,862.8,4.0,1,4.0,90,2657029.3,8436730.5,,,,50.8,74.7,55.6,79.7
237384,2020,Submitted Data,135086.0,732.8,6.6,1,4.0,70,4399460.2,869227.2,,,,47.1,118.4,49.7,125.7
251518,2020,Submitted Data,103904.0,945.1,9.1,1,2.0,15,3876184.4,6403839.9,,,,98.9,169.2,105.3,178.3
