id,name,address,type
103600,10 South LaSalle Street,10 South Lasalle Street,Office
103601,120 South LaSalle Street Building,120 South Lasalle Street,Office
103602,190 South LaSalle,190 South Lasalle,Office
103604,525 West Monroe,525 West Monroe Street,Office
103605,515 North State,515 N. State Street,Office
103606,Willis Tower (Rivion LLC),233 S Wacker Drive,Office
103608,329 W 18th St,329 W 18th St,Office
103611,Clark-Adams,105 W Adams St,Office
103614,Ann & Robert H. Lurie Children's Hospital of Chicago,225 E Chicago Ave,Hospital (General Medical & Surgical)
103615,NMH Prentice Womens Hospital,250 E Superior St,Hospital (General Medical & Surgical)
103617,33 E Congress,33 E Congress,College/University
103620,Grossinger City Autoplex,1530 N Dayton St,Automobile Dealership
103621,SpringHill Suites - Residence Inn,400-410 N. Dearborn St.,Hotel
103624,Illinois Institute of Technology,3300 South Federal Street,College/University
103626,151 North Franklin,151 N. Franklin Street,Office
103628,701190 - 1000 West Fulton Market - OPI,1000 West Fulton,Office
103630,Stroger Hospital Campus,1901 W. Harrison St.,Hospital (General Medical & Surgical)
103632,NMH Feinberg Pavilion and Galter Pavilion,251 E Huron St,Hospital (General Medical & Surgical)
103634,Lewis & O'Malley,25 E. Jackson Blvd.,College/University
103638,The Field Museum,1400 South Lake Shore Drive,Mixed Use Property
103639,121 West Wacker Drive AKA 221 N La Salle Street,121 West Wacker Drive,Office
103640,One North LaSalle,1 N. Lasalle,Office
103641,33 North LaSalle Street,33 North Lasalle Street,Office
103643,180 North LaSalle,180 North Lasalle Street,Office
103644,Onni 200 LaSalle,200 N Lasalle Ave,Office
103645,203 North LaSalle,203 N Lasalle Street,Office
103647,135 S LaSalle Property LLC,135 S. Lasalle Street,Office
103651,425 South Financial,425 South Financial Place (440 South Lasalle),Office
103653,350 North Orleans (Rivion LLC),350 North Orleans Street,Office
103655,Stein Place,5825 S. Dorchester,Multifamily Housing
103656,"theMART, Chicago",222 Merchandise Mart Plaza,Office
103661,One Magnificent Mile,980 North Michigan Avenue,Mixed Use Property
103664,Northern Trust HeadOuarters,50 S. Lasalle,Financial Office
103669,Soldier Field,1410 South Museum Campus Drive,Stadium (Open)
103677,150 North Riverside Plaza,150 N. Riverside Plaza,Office
103679,300 South Riverside Plaza,300 South Riverside Plaza,Office
103681,Fordham Hall- ID# 103681,6455 N Sheridan Rd,Residence Hall/Dormitory
103682,2019 - 4624 S Ellis,4624 S. Ellis,Multifamily Housing
103684,NMH Arkes Family Pavilion,676 N St. Clair St,Medical Office
103685,One North State,1 N State St,Office
103687,Sullivan Center,1 S State St.,Office
103689,Old Post Office,433 West Harrison Street,Office
103692,333 South Wabash,333 S. Wabash,Office
103696,111 South Wacker,111 South Wacker,Office
103698,22 West Washington,22 West Washington Street,Office
103699,George W Dunne Cook County Office Building,69 W. Washington Street,Office
103705,The National,125 S. Clark Street,Office
103711,Two North LaSalle,2 North Lasalle,Office
103712,Water Tower Place,835 N. Michigan Avenue,Mixed Use Property
103716,Palmer House a Hilton Hotel (CHIPH),17 E. Monroe Street,Hotel
103721,The Rookery Building,209 S. Lasalle,Office
103727,5050 N Broadway,5040-60 N Broadway,Multifamily Housing
103731,900 W Fullerton,900 W Fullerton,Multifamily Housing
103733,International Tower,8550 W Bryn Mawr Ave,Office
103738,Drexel Towers 4825,4825 S. Drexel,Multifamily Housing
103739,20 North Clark Street - 2821,20 North Clark Street,Office
103743,33 N. Dearborn,33 N. Dearborn,Office
103745,900 North Michigan,900 North Michigan,Mixed Use Property
103748,NMH Olson Pavilion,710 N Fairbanks Ct,Laboratory
103759,HeadOuarters,547 W. Jackson Blvd.,Office
103761,20 W Kinzie St,20 W Kinzie St,Office
103766,640 N LaSalle,640 N Lasalle Dr,Office
103770,CME Group Inc,333 S LaSalle St,Financial Office
103778,WEISS MEMORIAL HOSPITAL,4646 N MARINE DR,Hospital (General Medical & Surgical)
103780,LondonHouse Chicago,85 E Upper Wacker Dr,Hotel
103781,625 N Michigan Avenue,625 N Michigan Avenue,Office
103782,Warwick Allerton Hotel Chicago,701 N. Michigan Ave.,Hotel
103789,De La Salle Institute,3434 S Michigan Ave,K-12 School
103798,U.S. Railroad Retirement,844 N. Rush Street,Office
103804,190 N. State Street,190 N. State Street,Office
103812,400 W. Superior,400-432 W. Superior Street,Office
103815,328 S Jefferson,328 S Jefferson,Office
103816,AMA Plaza,330 North Wabash,Office
103849,Bicycle Station Lofts Condominium Association,1632 S. Indiana Ave.,Multifamily Housing
103871,Illume Condominiums,111 S. Peoria St.,Multifamily Housing
103933,,3161  N CAMBRIDGE AVE,Multifamily Housing
