Address,Coordinates
330 N Wabash Av,"{'latitude': 41.8886269, 'longitude': -87.62748619999999}"
9535 S Loomis St,"{'latitude': 41.7200259, 'longitude': -87.65693540000001}"
1900 1912 W PRATT BLVD,"{'latitude': 42.0052373, 'longitude': -87.6785822}"
4700 S Kedzie Ave,"{'latitude': 41.8075419, 'longitude': -87.70527969999999}"
2320 N Kenmore Ave,"{'latitude': 41.92403909999999, 'longitude': -87.65495489999999}"
5301 5317 S HYDE PARK BLVD,"{'latitude': 41.7991733, 'longitude': -87.5836272}"
607  W WRIGHTWOOD AVE,"{'latitude': 41.9294196, 'longitude': -87.6433991}"
4801 W Peterson Ave,"{'latitude': 41.9895434, 'longitude': -87.7488327}"
828  W GRACE ST,"{'latitude': 41.951308, 'longitude': -87.65097569999999}"
5427 N Broadway St,"{'latitude': 41.98081850000001, 'longitude': -87.6597025}"
2524 S Central Ave,"{'latitude': 41.8445526, 'longitude': -87.76402209999999}"
1200 W MONROE,"{'latitude': 41.8808009, 'longitude': -87.6574753}"
151 E Wacker Dr,"{'latitude': 41.8875013, 'longitude': -87.62262369999999}"
3826 W 58th St,"{'latitude': 41.78808679999999, 'longitude': -87.7188394}"
2247 N Halstead Ave,"{'latitude': 41.9234176, 'longitude': -87.6484043}"
5306  N CUMBERLAND AVE,"{'latitude': 41.9758672, 'longitude': -87.83698989999999}"
8500 S Wood,"{'latitude': 41.7393751, 'longitude': -87.6680215}"
1201 S Prairie Ave,"{'latitude': 41.866948, 'longitude': -87.62196899999999}"
4837 W Erie St,"{'latitude': 41.893088, 'longitude': -87.6891206}"
10 S STATE ST,"{'latitude': 41.8813846, 'longitude': -87.6279491}"
443 447 W WRIGHTWOOD AVE,"{'latitude': 41.9305283, 'longitude': -87.6410934}"
1629 S Prairie Ave,"{'latitude': 41.8595181, 'longitude': -87.6204887}"
3900 S Ashland Ave,"{'latitude': 41.8226457, 'longitude': -87.666601}"
468  W MELROSE ST,"{'latitude': 41.9414655, 'longitude': -87.6420017}"
1707 W Morse Ave,"{'latitude': 42.0074924, 'longitude': -87.67244509999999}"
210 N Wells St,"{'latitude': 41.8859889, 'longitude': -87.6340926}"
839 W 79TH ST,"{'latitude': 41.7504635, 'longitude': -87.6457556}"
400 W 95th St,"{'latitude': 41.7222251, 'longitude': -87.6342162}"
2740 N PINE GROVE AVE,"{'latitude': 41.9322633, 'longitude': -87.6412577}"
4735 S Winchester Ave,"{'latitude': 41.8077031, 'longitude': -87.673075}"
5525 W Diversey Ave,"{'latitude': 41.931123, 'longitude': -87.7646688}"
311 S Wacker,"{'latitude': 41.8775652, 'longitude': -87.635734}"
1040 N Lake Shore Dr,"{'latitude': 41.90212959999999, 'longitude': -87.6248737}"
641 W Lake St,"{'latitude': 41.8854135, 'longitude': -87.6444693}"
2350 N Lincoln Ave,"{'latitude': 41.924747, 'longitude': -87.64798359999999}"
5528 5530 S HYDE PARK BLVD,"{'latitude': 41.7942682, 'longitude': -87.5842785}"
5856 5860 N BROADWAY,"{'latitude': 41.98888789999999, 'longitude': -87.6604443}"
6171 N Sheridan Rd,"{'latitude': 41.9944051, 'longitude': -87.65490989999999}"
550 W Fulton,"{'latitude': 41.88702929999999, 'longitude': -87.6418858}"
3500  S GILES AVE,"{'latitude': 41.8306121, 'longitude': -87.6196385}"
6700 S Shore Dr,"{'latitude': 41.773405, 'longitude': -87.56704409999999}"
528 534 W ALDINE AVE,"{'latitude': 41.94256, 'longitude': -87.643222}"
1423 W Bryn Mawr Ave,"{'latitude': 41.9830756, 'longitude': -87.6664354}"
3533 S Giles Ave,"{'latitude': 41.8303897, 'longitude': -87.6191589}"
534 552 W Brompton Ave,"{'latitude': 41.9474889, 'longitude': -87.6450555}"
360 E South Water St,"{'latitude': 41.8867235, 'longitude': -87.61816069999999}"
1345 1359 W ESTES AVE,"{'latitude': 42.0113116, 'longitude': -87.6651157}"
4812 4846 N CLARK ST,"{'latitude': 41.9701795, 'longitude': -87.6678994}"
1900 W Lawrence Ave,"{'latitude': 41.9690095, 'longitude': -87.67702919999999}"
124  W POLK ST,"{'latitude': 41.8723996, 'longitude': -87.6313335}"
331  W OAKDALE AVE,"{'latitude': 41.9353614, 'longitude': -87.6383955}"
77 W Jackson,"{'latitude': 41.8775475, 'longitude': -87.6304081}"
1401 N California Ave,"{'latitude': 41.9067441, 'longitude': -87.696349}"
1620 S Michigan Ave,"{'latitude': 41.85961349999999, 'longitude': -87.6241656}"
1334 E 79TH ST,"{'latitude': 41.7518868, 'longitude': -87.5908018}"
30  W ERIE ST,"{'latitude': 41.8942919, 'longitude': -87.62939519999999}"
3656  W HURON ST,"{'latitude': 41.8939064, 'longitude': -87.7183113}"
1330 1358 W 76th St,"{'latitude': 41.7562515, 'longitude': -87.6582538}"
757 N Orleans St,"{'latitude': 41.8963014, 'longitude': -87.6365635}"
363 E Wacker Dr,"{'latitude': 41.88736979999999, 'longitude': -87.61768909999999}"
765 W Adams St,"{'latitude': 41.8789641, 'longitude': -87.64697749999999}"
504 N GREEN ST,"{'latitude': 41.8914884, 'longitude': -87.6489634}"
111 E Chestnut St,"{'latitude': 41.8978884, 'longitude': -87.62519379999999}"
2108  S PRINCETON AVE,"{'latitude': 41.853901, 'longitude': -87.6362633}"
24 East Washington Street,"{'latitude': 41.8834484, 'longitude': -87.62699400000001}"
5009  N SHERIDAN RD,"{'latitude': 41.9738949, 'longitude': -87.65429619999999}"
401 411 W FULLERTON PKWY,"{'latitude': 41.9253007, 'longitude': -87.6393805}"
825 835 W CORNELIA AVE,"{'latitude': 41.94501349999999, 'longitude': -87.6507762}"
5212 W Agatite,"{'latitude': 41.9619156, 'longitude': -87.7585737}"
5236 5252 S HYDE PARK BLVD,"{'latitude': 41.8001569, 'longitude': -87.5844137}"
4355 N Linder Ave,"{'latitude': 41.9603258, 'longitude': -87.7644175}"
840 850 W Argyle St,"{'latitude': 41.9736303, 'longitude': -87.6521605}"
1850 N Hermitage Ave,"{'latitude': 41.9157529, 'longitude': -87.6720429}"
3443  W ADDISON ST,"{'latitude': 41.9457917, 'longitude': -87.71463860000001}"
1  E SCHILLER ST,"{'latitude': 41.9076416, 'longitude': -87.62822849999999}"
3660 N Lake Shore Dr,"{'latitude': 41.9496009, 'longitude': -87.6458578}"
750 N HUDSON AVE,"{'latitude': 41.8963676, 'longitude': -87.64067229999999}"
4848  N KEDZIE AVE,"{'latitude': 41.969619, 'longitude': -87.7088819}"
